CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,Country,AvgOrderValue,CustomerLifespanDays,OrdersPerMonth,CustomerAgeDays,CustomerAgeDaysAdjusted,OrdersPerYear,EstimatedAnnualCLV,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
12346,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,77183.6,1,30.0,326,326,1.1196319018404908,86417.22085889571,1,1,5,7,Lost Customers
12347,2,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,615.7142857142857,366,0.5737704918032788,367,367,6.961852861035423,4286.512261580381,5,5,5,15,Champions
12348,75,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,449.31,283,0.42402826855123676,358,358,4.078212290502793,1832.38156424581,2,4,4,10,Loyal Customers
12349,19,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,1757.55,1,30.0,19,90,4.055555555555555,7127.841666666666,4,1,4,9,New Customers
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,334.4,1,30.0,310,310,1.1774193548387097,393.72903225806454,1,1,2,4,Lost Customers
12352,36,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,313.255,261,0.9195402298850576,297,297,9.831649831649832,3079.813468013468,3,5,5,13,Loyal Customers
12353,204,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,89.0,1,30.0,204,204,1.7892156862745097,159.24019607843135,1,1,1,3,Lost Customers
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,1079.4,1,30.0,232,232,1.5732758620689653,1698.1939655172414,1,1,4,6,Lost Customers
12355,214,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,459.4,1,30.0,214,214,1.7056074766355138,783.556074766355,1,1,2,4,Lost Customers
12356,23,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,937.1433333333333,303,0.297029702970297,326,326,3.3588957055214723,3147.766717791411,4,3,5,12,Potential Loyalists
12357,33,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,6207.67,1,30.0,33,90,4.055555555555555,25175.550555555554,4,1,5,10,New Customers
12358,2,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,584.03,150,0.4,151,151,4.834437086092715,2823.456291390728,5,2,4,11,Potential Loyalists
12359,58,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,1593.145,275,0.4363636363636364,332,332,4.397590361445783,7005.999096385542,3,4,5,12,Loyal Customers
12360,52,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,887.3533333333334,149,0.6040268456375839,201,201,5.447761194029852,4834.089054726369,3,3,5,11,Need Attention
